,timeOnIce_s,shots_per_min,goals_per_min,goals_per_shot,assists_per_min,blocks_per_min,giveaways_per_min,hits_per_min,penaltyMinutes_per_min,takeaways_per_min,faceOff_wins_per_attempt,pp_goals_per_min,pp_assists_per_min,pp_share_of_time,sh_goals_per_min,sh_assists_per_min,sh_share_of_time
timeOnIce_s,1.0,0.00532803943412,0.0564702345653,0.0380183441361,0.298196614832,0.241113607387,0.300088935783,-0.558233149965,-0.442229463416,-0.0246619279244,-0.227770211495,0.145938756572,0.168989503418,0.516349203266,-0.00911422371661,0.044321546102,0.236736458108
shots_per_min,0.00532803943412,1.0,0.709522327457,0.37890088633,0.399374405781,-0.590614260542,-0.0161863039092,-0.10891750503,-0.0933441622807,0.47639471175,0.361177584547,0.322378038886,0.0325713618578,0.517492315309,0.0210428990982,0.113679568844,-0.333586679906
goals_per_min,0.0564702345653,0.709522327457,1.0,0.862136034253,0.422496297533,-0.537553356708,-0.0212521346144,-0.130111370556,0.00534626520507,0.447940911166,0.349089873767,0.4291811188,0.0340419280327,0.508794021744,0.0584041206671,0.102617584307,-0.281453676659
goals_per_shot,0.0380183441361,0.37890088633,0.862136034253,1.0,0.306362393527,-0.433108831692,-0.0431191089056,-0.0863988674442,0.0210794384019,0.358886831027,0.271501374383,0.375071373621,0.0276179669938,0.348481050481,0.0705713697124,0.0403579545544,-0.182422649586
assists_per_min,0.298196614832,0.399374405781,0.422496297533,0.306362393527,1.0,-0.36892591796,0.140733830899,-0.326496491422,-0.171567956826,0.346636929319,0.181260010323,0.264327099189,0.229602207218,0.597957006096,0.0596996578033,0.0508342351156,-0.247332702876
blocks_per_min,0.241113607387,-0.590614260542,-0.537553356708,-0.433108831692,-0.36892591796,1.0,0.089621595509,-0.00365260171996,-0.0574329959027,-0.454781896119,-0.465651641445,-0.264188211258,-0.00262642954589,-0.393431350292,-0.0699862946871,-0.0650990977224,0.394086636364
giveaways_per_min,0.300088935783,-0.0161863039092,-0.0212521346144,-0.0431191089056,0.140733830899,0.089621595509,1.0,-0.218543716639,-0.0867042625465,0.0499326317413,-0.191912773899,0.0883788567928,0.0215491922187,0.233779593936,0.0205579364814,0.0332643980057,-0.0856697115332
hits_per_min,-0.558233149965,-0.10891750503,-0.130111370556,-0.0863988674442,-0.326496491422,-0.00365260171996,-0.218543716639,1.0,0.513592505564,-0.171536004125,0.0692854393675,-0.122434622313,-0.147025987411,-0.473112558313,-0.0457716075124,-0.0420096001067,-0.0380117494696
penaltyMinutes_per_min,-0.442229463416,-0.0933441622807,0.00534626520507,0.0210794384019,-0.171567956826,-0.0574329959027,-0.0867042625465,0.513592505564,1.0,-0.151738774234,0.0194202118309,-0.0902641061679,-0.103196096093,-0.270431186921,-0.0195871296491,-0.0268014430178,-0.140980978843
takeaways_per_min,-0.0246619279244,0.47639471175,0.447940911166,0.358886831027,0.346636929319,-0.454781896119,0.0499326317413,-0.171536004125,-0.151738774234,1.0,0.375831471769,0.231519005978,0.0653074940852,0.261961901825,-0.00495669336334,0.0028422104917,-0.0727466219531
faceOff_wins_per_attempt,-0.227770211495,0.361177584547,0.349089873767,0.271501374383,0.181260010323,-0.465651641445,-0.191912773899,0.0692854393675,0.0194202118309,0.375831471769,1.0,0.116619359876,-0.0203174328684,0.119517161624,-0.00143449687989,0.0163932160131,-0.0323927030369
pp_goals_per_min,0.145938756572,0.322378038886,0.4291811188,0.375071373621,0.264327099189,-0.264188211258,0.0883788567928,-0.122434622313,-0.0902641061679,0.231519005978,0.116619359876,1.0,0.0557514018585,0.365666260812,-0.0149652490627,0.0755090258238,-0.188474831962
pp_assists_per_min,0.168989503418,0.0325713618578,0.0340419280327,0.0276179669938,0.229602207218,-0.00262642954589,0.0215491922187,-0.147025987411,-0.103196096093,0.0653074940852,-0.0203174328684,0.0557514018585,1.0,0.193725879553,0.0476899716061,0.025322170323,0.0375785727471
pp_share_of_time,0.516349203266,0.517492315309,0.508794021744,0.348481050481,0.597957006096,-0.393431350292,0.233779593936,-0.473112558313,-0.270431186921,0.261961901825,0.119517161624,0.365666260812,0.193725879553,1.0,0.0197651560003,0.120469956924,-0.356046167864
sh_goals_per_min,-0.00911422371661,0.0210428990982,0.0584041206671,0.0705713697124,0.0596996578033,-0.0699862946871,0.0205579364814,-0.0457716075124,-0.0195871296491,-0.00495669336334,-0.00143449687989,-0.0149652490627,0.0476899716061,0.0197651560003,1.0,-0.00412692838601,-0.0328737090804
sh_assists_per_min,0.044321546102,0.113679568844,0.102617584307,0.0403579545544,0.0508342351156,-0.0650990977224,0.0332643980057,-0.0420096001067,-0.0268014430178,0.0028422104917,0.0163932160131,0.0755090258238,0.025322170323,0.120469956924,-0.00412692838601,1.0,-0.0417146597543
sh_share_of_time,0.236736458108,-0.333586679906,-0.281453676659,-0.182422649586,-0.247332702876,0.394086636364,-0.0856697115332,-0.0380117494696,-0.140980978843,-0.0727466219531,-0.0323927030369,-0.188474831962,0.0375785727471,-0.356046167864,-0.0328737090804,-0.0417146597543,1.0
